%MEM   RSS
31.0 926464
%MEM   RSS
39.9 1192128
%MEM   RSS
48.9 1460416
%MEM   RSS
57.9 1729344
%MEM   RSS
67.1 2002752
%MEM   RSS
76.3 2276700
%MEM   RSS
81.5 2433272
%MEM   RSS
82.4 2459368
%MEM   RSS
81.9 2444408
%MEM   RSS
83.9 2505620
%MEM   RSS
84.1 2510284
%MEM   RSS
84.4 2518212
%MEM   RSS
84.7 2526916
%MEM   RSS
84.7 2526712
%MEM   RSS
84.7 2526712
%MEM   RSS
84.7 2526712
%MEM   RSS
84.1 2511660
%MEM   RSS
84.1 2511660
%MEM   RSS
84.1 2511660
%MEM   RSS
84.1 2511660
%MEM   RSS
84.1 2511660
%MEM   RSS
84.1 2511660
%MEM   RSS
84.1 2511660
%MEM   RSS
84.0 2507784
%MEM   RSS
84.0 2507784
%MEM   RSS
84.0 2507784
%MEM   RSS
84.0 2507784
%MEM   RSS
84.0 2507784
%MEM   RSS
84.0 2507784
%MEM   RSS
84.0 2507784
%MEM   RSS
84.0 2507784
%MEM   RSS
84.0 2507784
%MEM   RSS
84.0 2507784
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.4 2489616
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
83.0 2476732
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.8 2472632
%MEM   RSS
82.6 2464804
%MEM   RSS
82.6 2464804
%MEM   RSS
82.6 2464804
%MEM   RSS
82.6 2464804
%MEM   RSS
82.6 2464804
%MEM   RSS
82.6 2464804
%MEM   RSS
82.6 2464804
%MEM   RSS
82.6 2464804
%MEM   RSS
