%MEM   RSS
 4.4 359608
%MEM   RSS
12.9 1051488
%MEM   RSS
21.3 1738464
%MEM   RSS
29.9 2435192
%MEM   RSS
37.8 3084100
%MEM   RSS
45.7 3724608
%MEM   RSS
52.1 4244816
%MEM   RSS
52.1 4245028
%MEM   RSS
52.1 4245044
%MEM   RSS
52.1 4244628
%MEM   RSS
52.1 4244780
%MEM   RSS
52.1 4244900
%MEM   RSS
52.1 4244884
%MEM   RSS
52.1 4244716
%MEM   RSS
52.1 4244880
%MEM   RSS
52.1 4244520
%MEM   RSS
52.1 4244692
%MEM   RSS
52.1 4244724
%MEM   RSS
52.1 4244536
%MEM   RSS
52.1 4244628
%MEM   RSS
52.1 4244332
%MEM   RSS
52.1 4244532
%MEM   RSS
52.1 4244964
%MEM   RSS
52.1 4244756
%MEM   RSS
52.1 4244768
%MEM   RSS
52.1 4244804
%MEM   RSS
52.1 4244640
%MEM   RSS
52.1 4244748
%MEM   RSS
52.1 4244868
%MEM   RSS
52.1 4244612
%MEM   RSS
52.1 4244312
%MEM   RSS
52.1 4244764
%MEM   RSS
52.1 4244840
%MEM   RSS
52.1 4244596
%MEM   RSS
52.1 4245236
%MEM   RSS
52.1 4244552
%MEM   RSS
52.1 4244428
%MEM   RSS
52.1 4244700
%MEM   RSS
52.1 4244744
%MEM   RSS
52.1 4244976
%MEM   RSS
52.1 4244792
%MEM   RSS
52.1 4244856
%MEM   RSS
52.1 4244936
%MEM   RSS
52.1 4244800
%MEM   RSS
52.1 4244840
%MEM   RSS
52.1 4244836
%MEM   RSS
52.1 4244900
%MEM   RSS
52.1 4244956
%MEM   RSS
52.1 4244740
%MEM   RSS
52.1 4244920
%MEM   RSS
52.1 4244316
%MEM   RSS
52.1 4244740
%MEM   RSS
52.1 4244684
%MEM   RSS
52.1 4244772
%MEM   RSS
52.1 4245024
%MEM   RSS
52.1 4245128
%MEM   RSS
52.1 4244936
%MEM   RSS
52.1 4244904
%MEM   RSS
52.1 4244744
%MEM   RSS
52.1 4244968
%MEM   RSS
52.1 4245084
%MEM   RSS
52.1 4244760
%MEM   RSS
52.1 4245012
%MEM   RSS
52.1 4244916
%MEM   RSS
52.1 4244728
%MEM   RSS
52.1 4245008
%MEM   RSS
52.1 4244796
%MEM   RSS
52.1 4244940
%MEM   RSS
52.1 4244844
%MEM   RSS
52.1 4244856
%MEM   RSS
52.1 4244620
%MEM   RSS
52.1 4245088
%MEM   RSS
52.1 4244908
%MEM   RSS
52.1 4244960
%MEM   RSS
52.1 4244728
%MEM   RSS
52.1 4244700
%MEM   RSS
52.1 4245236
%MEM   RSS
52.1 4244908
%MEM   RSS
52.1 4244660
%MEM   RSS
52.1 4244812
%MEM   RSS
52.1 4244664
%MEM   RSS
52.1 4245488
%MEM   RSS
52.1 4244920
%MEM   RSS
52.1 4244716
%MEM   RSS
52.1 4245008
%MEM   RSS
52.1 4244780
%MEM   RSS
52.1 4244656
%MEM   RSS
52.1 4244796
%MEM   RSS
52.1 4245056
%MEM   RSS
52.1 4244736
%MEM   RSS
52.1 4244936
%MEM   RSS
52.1 4244824
%MEM   RSS
52.1 4244732
%MEM   RSS
52.1 4244808
%MEM   RSS
52.1 4245300
%MEM   RSS
52.1 4244768
%MEM   RSS
52.1 4244696
%MEM   RSS
52.1 4245056
%MEM   RSS
52.1 4244672
