%MEM   RSS
 1.3 111284
%MEM   RSS
 9.9 810612
%MEM   RSS
18.9 1538996
%MEM   RSS
27.9 2274868
%MEM   RSS
36.8 3003636
%MEM   RSS
45.5 3712628
%MEM   RSS
52.0 4234896
%MEM   RSS
52.0 4234896
%MEM   RSS
 3.0 248064
%MEM   RSS
11.7 960448
%MEM   RSS
20.6 1680768
%MEM   RSS
29.3 2389568
%MEM   RSS
38.1 3109632
%MEM   RSS
46.5 3791488
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234908
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
52.0 4234940
%MEM   RSS
