%MEM    RSS
 0.7 237632
%MEM    RSS
 2.2 742832
%MEM    RSS
 3.7 1246960
%MEM    RSS
 5.2 1751680
%MEM    RSS
 6.5 2178992
%MEM    RSS
 7.8 2623136
%MEM    RSS
 9.0 3026288
%MEM    RSS
10.4 3484416
%MEM    RSS
11.7 3929104
%MEM    RSS
12.6 4242384
%MEM    RSS
12.6 4242448
%MEM    RSS
12.6 4242464
%MEM    RSS
12.6 4242464
%MEM    RSS
12.6 4242992
%MEM    RSS
12.6 4242992
%MEM    RSS
12.6 4242992
%MEM    RSS
12.6 4243008
%MEM    RSS
12.6 4243008
%MEM    RSS
12.6 4243008
%MEM    RSS
12.6 4243008
%MEM    RSS
12.6 4243008
%MEM    RSS
12.6 4243024
%MEM    RSS
12.6 4243040
%MEM    RSS
12.6 4243040
%MEM    RSS
12.6 4243040
%MEM    RSS
12.6 4243072
%MEM    RSS
12.6 4243072
%MEM    RSS
12.6 4243072
%MEM    RSS
12.6 4243072
%MEM    RSS
12.6 4243072
%MEM    RSS
12.6 4243072
%MEM    RSS
12.6 4243072
%MEM    RSS
12.6 4243088
%MEM    RSS
12.6 4243088
%MEM    RSS
12.6 4243104
%MEM    RSS
12.6 4243120
%MEM    RSS
12.6 4243120
%MEM    RSS
12.6 4243136
%MEM    RSS
12.6 4243152
%MEM    RSS
12.6 4243152
%MEM    RSS
12.6 4243152
%MEM    RSS
12.6 4243152
%MEM    RSS
12.6 4243152
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
%MEM    RSS
12.6 4243488
