%MEM   RSS
 1.7 141252
%MEM   RSS
 9.5 780772
%MEM   RSS
17.4 1417184
%MEM   RSS
25.1 2043864
%MEM   RSS
33.0 2692116
%MEM   RSS
40.4 3289776
%MEM   RSS
47.8 3893920
%MEM   RSS
52.0 4241700
%MEM   RSS
52.0 4241804
%MEM   RSS
52.0 4241652
%MEM   RSS
52.0 4241780
%MEM   RSS
52.0 4241704
%MEM   RSS
52.0 4240072
%MEM   RSS
52.0 4241964
%MEM   RSS
52.0 4241848
%MEM   RSS
52.0 4241936
%MEM   RSS
52.0 4241752
%MEM   RSS
52.0 4241880
%MEM   RSS
52.0 4241840
%MEM   RSS
52.0 4241604
%MEM   RSS
52.0 4241628
%MEM   RSS
52.0 4241460
%MEM   RSS
52.0 4241824
%MEM   RSS
52.0 4241504
%MEM   RSS
52.0 4241652
%MEM   RSS
52.0 4241688
%MEM   RSS
52.0 4241612
%MEM   RSS
52.0 4241752
%MEM   RSS
52.0 4241800
%MEM   RSS
52.0 4241516
%MEM   RSS
52.0 4241716
%MEM   RSS
52.0 4241852
%MEM   RSS
52.0 4241476
%MEM   RSS
52.0 4241736
%MEM   RSS
52.0 4241668
%MEM   RSS
52.0 4241720
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241420
%MEM   RSS
52.0 4241532
%MEM   RSS
52.0 4241560
%MEM   RSS
52.0 4241404
%MEM   RSS
52.0 4241460
%MEM   RSS
52.0 4241844
%MEM   RSS
52.0 4241808
%MEM   RSS
52.1 4242140
%MEM   RSS
52.0 4241872
%MEM   RSS
52.0 4242032
%MEM   RSS
52.0 4241572
%MEM   RSS
52.0 4241936
%MEM   RSS
52.0 4241864
%MEM   RSS
52.0 4241944
%MEM   RSS
52.0 4241960
%MEM   RSS
52.0 4241708
%MEM   RSS
52.0 4241560
%MEM   RSS
52.0 4241924
%MEM   RSS
52.0 4241696
%MEM   RSS
52.0 4241688
%MEM   RSS
52.0 4241796
%MEM   RSS
52.0 4241856
%MEM   RSS
52.0 4241968
%MEM   RSS
52.0 4241592
%MEM   RSS
52.0 4241660
%MEM   RSS
52.0 4241692
%MEM   RSS
52.0 4241976
%MEM   RSS
52.0 4241604
%MEM   RSS
52.0 4241708
%MEM   RSS
52.0 4241456
%MEM   RSS
52.0 4241252
%MEM   RSS
52.0 4241372
%MEM   RSS
52.0 4241364
%MEM   RSS
52.0 4241536
%MEM   RSS
52.0 4241400
%MEM   RSS
52.0 4241360
%MEM   RSS
52.0 4241672
%MEM   RSS
52.0 4241508
%MEM   RSS
52.0 4241508
%MEM   RSS
52.0 4241456
%MEM   RSS
52.0 4241400
%MEM   RSS
52.0 4240940
%MEM   RSS
52.0 4241468
%MEM   RSS
52.0 4241432
%MEM   RSS
52.0 4241392
%MEM   RSS
52.0 4241356
%MEM   RSS
52.0 4241108
%MEM   RSS
52.0 4241604
%MEM   RSS
52.0 4241680
%MEM   RSS
52.0 4241636
%MEM   RSS
52.0 4241476
%MEM   RSS
52.0 4241432
%MEM   RSS
52.0 4241420
%MEM   RSS
52.0 4241760
%MEM   RSS
52.0 4241524
%MEM   RSS
52.0 4241388
%MEM   RSS
52.0 4241612
%MEM   RSS
52.0 4241504
%MEM   RSS
52.0 4241264
%MEM   RSS
52.0 4241412
%MEM   RSS
52.0 4241164
%MEM   RSS
52.0 4241372
%MEM   RSS
52.0 4241516
%MEM   RSS
52.0 4241608
%MEM   RSS
52.0 4241604
%MEM   RSS
52.0 4241448
%MEM   RSS
52.0 4241348
%MEM   RSS
52.0 4241972
