%MEM   RSS
 0.9 150764
%MEM   RSS
 3.4 559212
%MEM   RSS
 5.9 970476
%MEM   RSS
 8.4 1381356
%MEM   RSS
10.7 1766444
%MEM   RSS
13.3 2187244
%MEM   RSS
15.8 2597804
%MEM   RSS
18.4 3020396
%MEM   RSS
20.6 3379052
%MEM   RSS
23.1 3793580
%MEM   RSS
25.6 4191596
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
25.8 4228168
%MEM   RSS
