%MEM   RSS
 3.8 116084
%MEM   RSS
10.1 302996
%MEM   RSS
16.9 506764
%MEM   RSS
23.8 712156
%MEM   RSS
30.8 919544
%MEM   RSS
37.8 1129012
%MEM   RSS
46.3 1383420
%MEM   RSS
55.4 1653996
%MEM   RSS
64.5 1926916
%MEM   RSS
73.3 2189380
%MEM   RSS
81.3 2425828
%MEM   RSS
83.2 2482852
%MEM   RSS
83.2 2484540
%MEM   RSS
82.8 2472284
%MEM   RSS
83.5 2492508
%MEM   RSS
83.7 2497524
%MEM   RSS
83.5 2491556
%MEM   RSS
83.6 2494660
%MEM   RSS
83.3 2486896
%MEM   RSS
83.3 2486124
%MEM   RSS
83.3 2486236
%MEM   RSS
83.3 2486236
%MEM   RSS
83.3 2486356
%MEM   RSS
83.3 2486156
%MEM   RSS
83.3 2486296
%MEM   RSS
83.3 2486268
%MEM   RSS
83.3 2486392
%MEM   RSS
82.8 2471880
%MEM   RSS
82.8 2471756
%MEM   RSS
82.8 2471664
%MEM   RSS
82.8 2471792
%MEM   RSS
82.8 2471932
%MEM   RSS
82.8 2471936
%MEM   RSS
82.8 2472100
%MEM   RSS
82.8 2471972
%MEM   RSS
82.8 2472048
%MEM   RSS
82.8 2472092
%MEM   RSS
82.8 2472048
%MEM   RSS
82.6 2465812
%MEM   RSS
82.6 2466212
%MEM   RSS
82.6 2466224
%MEM   RSS
82.6 2466048
%MEM   RSS
82.6 2465920
%MEM   RSS
82.6 2466012
%MEM   RSS
82.6 2465664
%MEM   RSS
82.6 2465792
%MEM   RSS
82.6 2465896
%MEM   RSS
82.6 2465884
%MEM   RSS
82.6 2465772
%MEM   RSS
82.0 2447120
%MEM   RSS
82.0 2446908
%MEM   RSS
81.9 2445504
%MEM   RSS
81.9 2445340
%MEM   RSS
81.9 2445416
%MEM   RSS
81.9 2445192
%MEM   RSS
81.9 2445268
%MEM   RSS
81.9 2445248
%MEM   RSS
81.9 2445000
%MEM   RSS
81.9 2445388
%MEM   RSS
81.9 2445456
%MEM   RSS
81.9 2445580
%MEM   RSS
81.9 2445100
%MEM   RSS
81.8 2441564
%MEM   RSS
81.8 2441864
%MEM   RSS
81.8 2441620
%MEM   RSS
81.8 2441880
%MEM   RSS
81.8 2441844
%MEM   RSS
81.8 2441888
%MEM   RSS
81.8 2441624
%MEM   RSS
81.8 2442296
%MEM   RSS
81.8 2441852
%MEM   RSS
81.1 2420732
%MEM   RSS
81.1 2420732
%MEM   RSS
81.1 2420656
%MEM   RSS
81.1 2420640
%MEM   RSS
81.1 2420408
%MEM   RSS
81.1 2420476
%MEM   RSS
80.8 2410456
%MEM   RSS
80.8 2410456
%MEM   RSS
80.8 2410356
%MEM   RSS
80.8 2410476
%MEM   RSS
80.8 2410628
%MEM   RSS
80.8 2410368
%MEM   RSS
80.8 2410480
%MEM   RSS
80.8 2410476
%MEM   RSS
80.8 2410644
%MEM   RSS
80.6 2404460
%MEM   RSS
80.5 2404204
%MEM   RSS
80.6 2404496
%MEM   RSS
80.6 2404464
%MEM   RSS
80.6 2404416
%MEM   RSS
80.5 2404160
%MEM   RSS
80.6 2404392
%MEM   RSS
80.5 2404320
%MEM   RSS
80.5 2404212
%MEM   RSS
80.6 2404524
%MEM   RSS
80.6 2404460
%MEM   RSS
80.5 2404344
%MEM   RSS
80.5 2404168
%MEM   RSS
80.5 2404304
%MEM   RSS
80.5 2404288
%MEM   RSS
80.5 2404304
%MEM   RSS
80.5 2404260
%MEM   RSS
80.6 2404524
%MEM   RSS
80.6 2404424
%MEM   RSS
80.6 2404636
%MEM   RSS
80.6 2404412
%MEM   RSS
80.6 2404548
%MEM   RSS
80.5 2404372
%MEM   RSS
80.6 2404500
%MEM   RSS
80.6 2404600
%MEM   RSS
80.5 2404372
%MEM   RSS
80.6 2404504
%MEM   RSS
80.6 2404600
%MEM   RSS
80.6 2404484
%MEM   RSS
80.6 2404488
%MEM   RSS
80.6 2404400
%MEM   RSS
80.6 2404588
%MEM   RSS
80.5 2404204
%MEM   RSS
80.5 2404176
%MEM   RSS
80.5 2404368
%MEM   RSS
80.5 2404332
%MEM   RSS
80.6 2404720
%MEM   RSS
80.6 2404472
%MEM   RSS
80.6 2404424
%MEM   RSS
80.6 2404888
%MEM   RSS
80.6 2404384
%MEM   RSS
80.6 2404636
%MEM   RSS
80.6 2404556
%MEM   RSS
80.6 2404684
%MEM   RSS
80.6 2404816
%MEM   RSS
80.6 2404588
%MEM   RSS
80.6 2404592
%MEM   RSS
80.6 2404652
%MEM   RSS
80.6 2404640
%MEM   RSS
80.6 2404588
%MEM   RSS
80.5 2404332
%MEM   RSS
80.5 2404268
%MEM   RSS
80.6 2404432
%MEM   RSS
80.5 2404336
%MEM   RSS
80.5 2404276
%MEM   RSS
80.5 2404312
%MEM   RSS
80.6 2404432
%MEM   RSS
80.5 2404280
%MEM   RSS
80.6 2404460
%MEM   RSS
80.6 2404440
%MEM   RSS
80.6 2404688
%MEM   RSS
80.5 2404368
%MEM   RSS
80.6 2404632
%MEM   RSS
80.6 2404588
%MEM   RSS
80.5 2404336
%MEM   RSS
80.6 2404396
%MEM   RSS
80.6 2404380
%MEM   RSS
80.6 2404460
%MEM   RSS
80.6 2404464
%MEM   RSS
80.6 2404436
%MEM   RSS
80.5 2404308
%MEM   RSS
80.6 2404480
%MEM   RSS
80.6 2404544
%MEM   RSS
