%MEM   RSS
 4.4 132744
%MEM   RSS
14.1 423432
%MEM   RSS
23.8 711368
%MEM   RSS
33.8 1010632
%MEM   RSS
43.3 1291720
%MEM   RSS
52.8 1575688
%MEM   RSS
62.5 1866248
%MEM   RSS
72.4 2161160
%MEM   RSS
82.1 2449952
%MEM   RSS
84.5 2520988
%MEM   RSS
84.8 2530088
%MEM   RSS
84.9 2534456
%MEM   RSS
85.3 2547244
%MEM   RSS
85.3 2545360
%MEM   RSS
85.5 2552524
%MEM   RSS
85.5 2551224
%MEM   RSS
85.5 2551224
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.9 2533844
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
84.2 2512852
%MEM   RSS
83.2 2483452
%MEM   RSS
82.7 2469752
%MEM   RSS
82.7 2469752
%MEM   RSS
82.7 2469752
%MEM   RSS
82.7 2469752
%MEM   RSS
82.7 2469752
%MEM   RSS
82.7 2469752
%MEM   RSS
82.7 2469752
%MEM   RSS
82.2 2454380
%MEM   RSS
82.2 2454380
%MEM   RSS
82.2 2454380
%MEM   RSS
82.2 2454380
%MEM   RSS
82.2 2454380
%MEM   RSS
82.2 2454380
%MEM   RSS
82.2 2454380
%MEM   RSS
82.2 2454380
%MEM   RSS
82.2 2454380
%MEM   RSS
82.2 2454380
%MEM   RSS
82.2 2454380
